country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.23,,,4.53,5.12,4.25,4.92,6.27,9.35,10.5,5.93,9.58,9.63,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244,0.227,0.292,0.313,14.3,15.4,16.1,17,18,18,18.9,19,19,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.23,,,,,4.53,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,19.9,20.7,20.4,20.8,21.8,22.6,24.1,25.8,26.1,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85,5.78,6.19,7.97,8.48,8.79,8.23,9.37,8.79,10.5,9.49,9.48,9.33
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.14,,,,,10.1,,10.8,12,12.2,,12.1,13.2
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8,,,33.1,26.8,0.73,0.756,30.9,31,31.6,31.2,34.9,35.2,36.9,37.7,37.3,
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24,3.93,14.8,16.3,16.9,3.11,18.2,0,16.9,17.4,17.4,17.8,18.3,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.64,,,,,,10.4,,,10.9,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.917,1.01,1.07,1.13,31.3,32.3,34.9,37,39,36.1,36.6,34.2,34.2,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2,31.4,32.8,33.2,34,34.9,35.8,36.2,36.5,37.2,38.1,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143,0.272,0.305,0.321,14,14.5,14.7,15.5,16.1,16.4,16.6,16.3,16.5,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.81,,,,,,,,,,,10.9,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,,,,,,,,,,25.5,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,,,,,,,,25.5,,22.8,,,,,,27.8,,,34.1,37.7,,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.81,3.74,5.68,6.09,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,,,,,0,0,0,0,24.3,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92,,5.23,5.04,6.24,4.92,,0.115,5.94,4.56,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,,,2.78,4.06,1.99,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4,27.4,27.8,28.8,30.1,28.7,31.8,32.2,33,33.6,33.9,34.2,34.5,35.6
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.46,8.3,8.07,8.28,,,,9.52,8.71,,9.59,,10.7,11.1,,,,,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15,,,,,,,5.15,,,,,5.19,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3,22.1,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01,,,,5.48,,3.66,3.39,,5.06,,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,,,,,,,13.9,14.1,0.458,0.471,,0.791,0.666,0.852,0.797,0.666,0.684,0.746,0.693,0.757,0.912,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.94,5.61,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.391,0.442,0.45,26.4,31.5,33.1,33.9,34.5,36,37.3,38.1,40.1,41.4,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26,1.4,1.38,1.59,32.7,30.6,34.5,32.7,35.7,38,38.2,41.7,42.3,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.277,0.344,0.406,27.7,26.6,27.7,29.1,29.2,30,30.9,32.8,31.4,32,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.2,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,15.6,16.3,17,17.9,18.9,19,20.1,19.4,18.8,18.9,20.1,20.1,20.2,20.4,20.4,21
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68,,,2.76,,,2.93,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,,8.53,6.36,,11,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,,,14.3,14,14.8,14.7,15.4,16,,17.1,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.66,,,,,,,,6.2,,4.19,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,13.6,14.2,13.3,14.1,15.2,17,17.2,21.1,17.5,21.7,19.4,19.8,21
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65,1.54,1.64,3.13,3.09,1.56,,3.81,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,13.5,13.3,13.5,16.7,18.4,20.5,21.8,22.6,22.6,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.77,7.43,9.35,12.4,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3,17,19.2,19.3,21.5,19.8,19.6,59.3,61.1,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,,,,,,,,,,23.7,,,26.5,26.7,29.1,29.2,30,29.3,31.9,32.6,32.9,31.6,31.7
Mozambique,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49,,1.83,,,3.32,,3.04,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.31,2.54,,5.17,,4.71,,2.92,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.43,7.04,7.66,8.4,7.72,8.27,9.33,9.49,11.9,0,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.781,,,,1.38,,0.872,,,1.32,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,13.1,13.2,12.4,14.1,16.5,14.6,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.55,6.06,5.68,,9.28,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,15.2,,,19.6,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,1.02,,1.13,,,1.17,0.941,1.09,,,1.14,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.04,,,,,,,,,,5.94,,8.15,6.57,,11,3.48,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.598,0.485,0.468,27.2,28,28.9,29.4,30.3,31.1,32.7,34.8,35.5,36.6,
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9,,30.2,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.693,0.681,0.607,0.651,25.7,26.6,27.3,28.1,30,29.3,32.1,30.5,31.2,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.56,,,,,,5.82,,,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1,25.9,28.1,29.7,31.2,31.7,32.3,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,,,,,12.5,,5.81,5.81,5.81,17.1,13.9,19.1,
Pakistan,,,3.4,,,,,,,,,1.89,,,,,,,,,,,,,,,,,,,,,,,,3.92,6.3,,6.07,6.67,6.97,7.4,7.54,7.99,8.75,8.07,16.2,8.65,3.17,4.15,,8.63,,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,,,,,,,,,19.6,,,16.2,16.1
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,,,17,,,,16,,24.4,20.3,21.7,18.1,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,,,,,,14.7,,,
